"id","muestra","feature_id","feature_type","conteo_crudo","condicion"
1,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:15939..16037","riboswitch",102,"spaceflight"
2,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:15939..16037","riboswitch",134,"spaceflight"
3,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:15939..16037","riboswitch",129,"spaceflight"
4,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:15939..16037","riboswitch",127,"spaceflight"
5,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:15939..16037","riboswitch",159,"spaceflight"
6,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:15939..16037","riboswitch",151,"spaceflight"
7,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:15939..16037","riboswitch",141,"spaceflight"
8,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:15939..16037","riboswitch",137,"spaceflight"
9,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:15939..16037","riboswitch",178,"spaceflight"
10,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:441050..441152","riboswitch",81,"spaceflight"
11,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:441050..441152","riboswitch",96,"spaceflight"
12,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:441050..441152","riboswitch",109,"spaceflight"
13,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:441050..441152","riboswitch",71,"spaceflight"
14,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:441050..441152","riboswitch",88,"spaceflight"
15,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:441050..441152","riboswitch",127,"spaceflight"
16,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:441050..441152","riboswitch",104,"spaceflight"
17,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:441050..441152","riboswitch",170,"spaceflight"
