"muestra","superficie","condicion","localizacion","layout","stranded","read_depth"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","3","inflight3","Side Hatch Mobility Aid","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","4","inflight3","Lid of Waste Locker","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","2","inflight3","Viewing Dome","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","1","inflight3","Execute Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","5","inflight3","Seat 2","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","7","inflight3","Control Touch Screen - Left","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","6","inflight3","Commode Panel","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","9","inflight3","G-Meter Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","0","inflight3","Open Air Control","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","8","inflight3","Control Touch Screen - Right","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_4","4","preflight","Lid of Waste Locker","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_1","1","preflight","Execute Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_7","7","preflight","Control Touch Screen - Left","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_2","2","preflight","Viewing Dome","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_0","0","preflight","Open Air Control","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_6","6","preflight","Commode Panel","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_5","5","preflight","Seat 2","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_3","3","preflight","Side Hatch Mobility Aid","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_8","8","preflight","Control Touch Screen - Right","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_9","9","preflight","G-Meter Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface7","7","inflight2","Control Touch Screen - Left","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface3","3","inflight2","Side Hatch Mobility Aid","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface5","5","inflight2","Seat 2","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface6","6","inflight2","Commode Panel","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface9","9","inflight2","G-Meter Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface0","0","inflight2","Open Air Control","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface1","1","inflight2","Execute Button","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface2","2","inflight2","Viewing Dome","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface8","8","inflight2","Control Touch Screen - Right","PAIRED","STRANDED","17650733"
"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_surface4","4","inflight2","Lid of Waste Locker","PAIRED","STRANDED","17650733"
