"id","muestra","feature_id","feature_type","conteo_crudo","superficie","tipo_tiempo"
"1","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","id-NC_002952.2:1943687..1943822","riboswitch","102","3","inflight3"
"2","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS00080","gene","4","4","inflight3"
"3","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00105","gene","84","2","inflight3"
"4","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00120","gene","2","2","inflight3"
"5","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS00145","gene","490","1","inflight3"
"6","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00145","gene","136","2","inflight3"
"7","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS00145","gene","12","5","inflight3"
"8","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS00145","gene","86","7","inflight3"
"9","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00170","gene","122","2","inflight3"
"10","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS00175","gene","194","1","inflight3"
"11","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00175","gene","308","2","inflight3"
"12","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS00175","gene","13","5","inflight3"
"13","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS00175","gene","71","7","inflight3"
"14","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00245","gene","1","2","inflight3"
"15","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00275","gene","402","2","inflight3"
"16","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS00485","gene","212","2","inflight3"
"17","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS00575","gene","394","1","inflight3"
"18","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS00620","gene","66","1","inflight3"
"19","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS00630","gene","32","6","inflight3"
"20","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS01070","gene","165","9","inflight3"
"21","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS01095","gene","134","0","inflight3"
"22","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS01115","gene","50","5","inflight3"
"23","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS01335","gene","48","5","inflight3"
"24","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS01410","gene","560","0","inflight3"
"25","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS01705","gene","610","0","inflight3"
"26","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS01775","gene","1","7","inflight3"
"27","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS01825","gene","199","2","inflight3"
"28","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS01825","gene","398","3","inflight3"
"29","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS01825","gene","1","5","inflight3"
"30","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS01830","gene","140","5","inflight3"
"31","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02005","gene","5","5","inflight3"
"32","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02010","gene","27","5","inflight3"
"33","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS02060","gene","206","1","inflight3"
"34","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02060","gene","1","4","inflight3"
"35","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02210","gene","44","3","inflight3"
"36","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS02260","gene","430","7","inflight3"
"37","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02305","gene","262","3","inflight3"
"38","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02350","gene","30","5","inflight3"
"39","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS02350","gene","85","9","inflight3"
"40","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS14895","gene","351","0","inflight3"
"41","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS14895","gene","2699","1","inflight3"
"42","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS14895","gene","9855","2","inflight3"
"43","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS14895","gene","20662","3","inflight3"
"44","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS14895","gene","5525","4","inflight3"
"45","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS14895","gene","127557","5","inflight3"
"46","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS14895","gene","6645","6","inflight3"
"47","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS14895","gene","2605","7","inflight3"
"48","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS14895","gene","5721","8","inflight3"
"49","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS14895","gene","5668","9","inflight3"
"50","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02395","gene","1","5","inflight3"
"51","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02515","gene","32","5","inflight3"
"52","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02530","gene","3","4","inflight3"
"53","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02540","gene","210","3","inflight3"
"54","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02540","gene","94","5","inflight3"
"55","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02575","gene","46","5","inflight3"
"56","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS02635","gene","31","7","inflight3"
"57","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS02655","gene","2","1","inflight3"
"58","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS02670","gene","58","1","inflight3"
"59","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02670","gene","1","3","inflight3"
"60","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS02670","gene","1","7","inflight3"
"61","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS02670","gene","1","8","inflight3"
"62","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02675","gene","1","5","inflight3"
"63","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02680","gene","4","5","inflight3"
"64","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02745","gene","1","4","inflight3"
"65","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02745","gene","2","5","inflight3"
"66","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02760","gene","1","4","inflight3"
"67","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS02780","gene","70","9","inflight3"
"68","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS02785","gene","70","9","inflight3"
"69","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02810","gene","136","3","inflight3"
"70","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02810","gene","232","5","inflight3"
"71","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS02810","gene","64","9","inflight3"
"72","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02820","gene","74","3","inflight3"
"73","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02820","gene","24","5","inflight3"
"74","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS02835","gene","1","1","inflight3"
"75","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02835","gene","172","3","inflight3"
"76","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02835","gene","24","5","inflight3"
"77","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS02835","gene","2","6","inflight3"
"78","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS02835","gene","286","8","inflight3"
"79","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02840","gene","256","4","inflight3"
"80","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02840","gene","116","5","inflight3"
"81","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS02840","gene","1","7","inflight3"
"82","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS02840","gene","1","8","inflight3"
"83","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02850","gene","198","5","inflight3"
"84","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS02850","gene","274","7","inflight3"
"85","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02855","gene","31","5","inflight3"
"86","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02860","gene","178","3","inflight3"
"87","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02860","gene","216","4","inflight3"
"88","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02860","gene","462","5","inflight3"
"89","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS02865","gene","195","2","inflight3"
"90","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02865","gene","389","3","inflight3"
"91","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS02865","gene","306","4","inflight3"
"92","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS02865","gene","1033","5","inflight3"
"93","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS02865","gene","1","6","inflight3"
"94","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS02865","gene","2","8","inflight3"
"95","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS02865","gene","54","9","inflight3"
