"id","muestra","feature_id","feature_type","conteo_crudo","microbiota","tipo_tiempo"
"1","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:908405..908508","riboswitch","6","1","preflight"
"2","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","id-NC_002952.2:908405..908508","riboswitch","20","1","preflight"
"3","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","id-NC_002952.2:908405..908508","riboswitch","6","1","preflight"
"4","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:908405..908508","riboswitch","6","1","preflight"
"5","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","id-NC_002952.2:1463346..1463521","riboswitch","2","1","preflight"
"6","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:1943687..1943822","riboswitch","104","1","preflight"
"7","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","id-NC_002952.2:1943687..1943822","riboswitch","32","1","preflight"
"8","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","id-NC_002952.2:1943687..1943822","riboswitch","32","1","preflight"
"9","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","id-NC_002952.2:1943687..1943822","riboswitch","12","1","preflight"
"10","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","id-NC_002952.2:1943687..1943822","riboswitch","191","1","preflight"
"11","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","id-NC_002952.2:1943687..1943822","riboswitch","16","1","preflight"
"12","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:1943687..1943822","riboswitch","104","1","preflight"
"13","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:1958937..1959048","riboswitch","43","1","preflight"
"14","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","id-NC_002952.2:1958937..1959048","riboswitch","2","1","preflight"
"15","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","id-NC_002952.2:1958937..1959048","riboswitch","2","1","preflight"
"16","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","id-NC_002952.2:1958937..1959048","riboswitch","22","1","preflight"
"17","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","id-NC_002952.2:1958937..1959048","riboswitch","189","1","preflight"
"18","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","id-NC_002952.2:1958937..1959048","riboswitch","43","1","preflight"
"19","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00010","gene","64","1","preflight"
"20","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00010","gene","1","1","preflight"
"21","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00010","gene","33","1","preflight"
"22","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00010","gene","28","1","preflight"
"23","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00010","gene","64","1","preflight"
"24","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00020","gene","1","1","preflight"
"25","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00020","gene","16","1","preflight"
"26","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00030","gene","22","1","preflight"
"27","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00030","gene","2","1","preflight"
"28","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00030","gene","15","1","preflight"
"29","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00030","gene","2","1","preflight"
"30","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00030","gene","42","1","preflight"
"31","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00030","gene","22","1","preflight"
"32","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00045","gene","53","1","preflight"
"33","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00045","gene","1","1","preflight"
"34","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00045","gene","38","1","preflight"
"35","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00045","gene","1","1","preflight"
"36","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00045","gene","123","1","preflight"
"37","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00045","gene","11","1","preflight"
"38","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00045","gene","53","1","preflight"
"39","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00070","gene","9","1","preflight"
"40","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00070","gene","18","1","preflight"
"41","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00070","gene","9","1","preflight"
"42","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00075","gene","2","1","preflight"
"43","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00075","gene","2","1","preflight"
"44","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00075","gene","22","1","preflight"
"45","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00075","gene","1","1","preflight"
"46","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00075","gene","1","1","preflight"
"47","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00080","gene","18","1","preflight"
"48","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00080","gene","4","1","preflight"
"49","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00080","gene","98","1","preflight"
"50","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00080","gene","18","1","preflight"
"51","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00085","gene","26","1","preflight"
"52","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00085","gene","113","1","preflight"
"53","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00085","gene","1","1","preflight"
"54","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00085","gene","26","1","preflight"
"55","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00090","gene","2","1","preflight"
"56","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00090","gene","8","1","preflight"
"57","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00095","gene","6","1","preflight"
"58","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00095","gene","6","1","preflight"
"59","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00095","gene","1","1","preflight"
"60","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00095","gene","1","1","preflight"
"61","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00100","gene","6","1","preflight"
"62","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00100","gene","5","1","preflight"
"63","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00100","gene","88","1","preflight"
"64","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00100","gene","25","1","preflight"
"65","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00100","gene","6","1","preflight"
"66","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00105","gene","29","1","preflight"
"67","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00120","gene","2","1","preflight"
"68","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00120","gene","11","1","preflight"
"69","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00120","gene","2","1","preflight"
"70","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00135","gene","14","1","preflight"
"71","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00135","gene","14","1","preflight"
"72","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00140","gene","1","1","preflight"
"73","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00140","gene","1","1","preflight"
"74","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00145","gene","4","1","preflight"
"75","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00145","gene","263","1","preflight"
"76","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00145","gene","4","1","preflight"
"77","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00145","gene","123","1","preflight"
"78","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00145","gene","82","1","preflight"
"79","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00145","gene","82","1","preflight"
"80","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00145","gene","34","1","preflight"
"81","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00145","gene","259","1","preflight"
"82","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00145","gene","123","1","preflight"
"83","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00145","gene","149","1","preflight"
"84","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00145","gene","38","1","preflight"
"85","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00145","gene","263","1","preflight"
"86","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00160","gene","14","1","preflight"
"87","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00160","gene","58","1","preflight"
"88","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00165","gene","10","1","preflight"
"89","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00165","gene","10","1","preflight"
"90","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00170","gene","22","1","preflight"
"91","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00170","gene","113","1","preflight"
"92","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00170","gene","184","1","preflight"
"93","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00170","gene","22","1","preflight"
"94","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00175","gene","2","1","preflight"
"95","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00175","gene","276","1","preflight"
"96","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00175","gene","2","1","preflight"
"97","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00175","gene","375","1","preflight"
"98","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00175","gene","93","1","preflight"
"99","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00175","gene","93","1","preflight"
"100","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC","gene-SAR_RS00175","gene","41","1","preflight"
"101","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00175","gene","246","1","preflight"
"102","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00175","gene","375","1","preflight"
"103","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00175","gene","145","1","preflight"
"104","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP","gene-SAR_RS00175","gene","20","1","preflight"
"105","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00175","gene","276","1","preflight"
"106","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00200","gene","30","1","preflight"
"107","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00200","gene","30","1","preflight"
"108","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00230","gene","32","1","preflight"
"109","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAC","gene-SAR_RS00230","gene","32","1","preflight"
"110","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS16000","gene","2","1","preflight"
"111","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS16000","gene","2","1","preflight"
"112","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00245","gene","4","1","preflight"
"113","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00245","gene","4","1","preflight"
"114","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00250","gene","2","1","preflight"
"115","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00250","gene","2","1","preflight"
"116","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00260","gene","2","1","preflight"
"117","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00260","gene","2","1","preflight"
"118","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00265","gene","6","1","preflight"
"119","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00265","gene","6","1","preflight"
"120","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_GLU","gene-SAR_RS00275","gene","16","1","preflight"
"121","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00285","gene","6","1","preflight"
"122","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00290","gene","10","1","preflight"
"123","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_UMB","gene-SAR_RS00290","gene","290","1","preflight"
"124","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00290","gene","10","1","preflight"
"125","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00295","gene","4","1","preflight"
"126","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00295","gene","163","1","preflight"
"127","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_TZO","gene-SAR_RS00295","gene","22","1","preflight"
"128","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_PIT","gene-SAR_RS00295","gene","163","1","preflight"
"129","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_EAR","gene-SAR_RS00295","gene","4","1","preflight"
"130","GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_WEB","gene-SAR_RS00430","gene","2","1","preflight"
